rating,review_text,date,version,author,thumbsUpCount,platform
5,Really I love the competition in this game..... mind khul jata hai.... Maths puzzle itna fastly solve karna kya khatarnak compitition hai maza aa gya 👍❤️,2026-01-31T16:07:20,1.18.200,Anvi Shaurya,0,Google Play
4,"everything is good until the puzzle allowed snapshot or screen shot, globally the game player take the screen shot then solve the puzzle after they within seconds post a solution and secure top score, developer have to restricted snapshot or the time lap continue even after closing app",2026-01-31T13:52:55,1.18.200,Tejas Prajapati,0,Google Play
5,Best way to spend your time on screen .,2026-01-31T10:37:06,1.17.300,abhishek kumar,0,Google Play
5,"best app to improve your memory , math solving skills and many more 👍👏",2026-01-31T10:19:14,1.17.300,HELLO I AM NISHANT,0,Google Play
5,I haven't played the game yet but I will I'm rating this because of the advertisement the creative team and the advertisement team went all out hope the game is also good,2026-01-31T09:09:58,1.18.200,Zidan Bhai,0,Google Play
5,"such a premium app, I love it",2026-01-31T06:20:29,1.17.300,Vinayak Dev,0,Google Play
2,"it's a great app tbh , but after few uses it keeps me showing the tutorial pop ups and it doesn't go away , there's some glitch in ui , it's really frustrating coz it hasn't changed since then.",2026-01-30T20:55:33,1.17.300,Samridhi,0,Google Play
5,"I love this game. However, there is still some room for improvement, you could add an option for local multiplayer, the ui looks good but it can be simplified, it would be better if you would add a detailed tutorial on how to play the game / solve. Nice concept please keep improving this app 💖",2026-01-30T19:36:51,1.17.300,Hitansh Vora,0,Google Play
5,The best game to play with zero guilt as the learning takes place along with fun. Would suggest this game to all Math lovers and Nerds out there,2026-01-30T17:51:02,1.18.200,Sathyapriya Nagarajan,0,Google Play
1,worst app no proper justification any issue,2026-01-30T14:42:43,,Kanaram Sindra,0,Google Play
5,excellent,2026-01-30T07:06:54,,Yamuna V B,0,Google Play
5,this game is so good and it is made by one of our fellow iitians,2026-01-29T21:03:34,,Vansh Jain,0,Google Play
5,"I liked it a lot! it's been helping me take detox from the reels and social media. Thanks a lot , dev team!",2026-01-29T20:26:04,1.18.200,Rutvij Kulkarni,0,Google Play
1,"Encountered an issue in the app. Sent an email and 3 follow-up emails. No reply received till date. Zero user support. Update 1: Received a reply after 10 days. Update 2: Last mail on 27 Nov, 2025 and still no reply till date. Update 3: Submitted via feedback form in app as developer suggested. No response from there also.",2026-01-29T15:47:07,1.17.300,Bijoy J,7,Google Play
1,"worst app, not letting me to play . Also not letting me to log out",2026-01-29T15:36:44,,Kavita Kumari,0,Google Play
5,very impressive,2026-01-28T18:32:37,1.17.300,Veteran Ronin,0,Google Play
5,bahut badhiya game hai,2026-01-28T16:32:47,1.17.300,ANJALI GAMI,0,Google Play
